Variable,Importancia
Revenue_CLP,0.2932904901193806
Revenue_CLP_original,0.2754401654311749
Costo_Adquisicion_CLP,0.16713636343186467
revenue_per_click,0.11130068485578402
cost_per_click,0.06711975032609652
cost_per_impression,0.029795805006758488
cost_engagement_interaction,0.019167076551465233
Conv_per_Impression,0.006570022446807196
Clicks,0.0051423503155916634
Clicks_quartile,0.003282459154516027
Engagement_Score,0.0024071408595496393
Conv_per_Click,0.0019527949852040645
Conv_per_Click_transformed,0.001811106229555689
CTR_transformed,0.0017164372938954671
Conv_per_Click_original,0.001550955121273712
Impressions,0.001344469871497816
CTR_original,0.0013296970676434567
click_through_rate,0.0009982784481740406
Conversion_Rate_original,0.0009939194282332054
engagement_rate,0.000987851435587892
Conversion_Rate_transformed,0.0009187598342412253
Calculated_CR,0.0008541423642713394
CTR,0.0008127406399683577
Impressions_quartile,0.000777515709796508
Calculated_CR_transformed,0.0006960939565485176
Engagement_Index,0.0006316278483405567
Calculated_CR_original,0.0005945084318616571
Conversion_Rate,0.0005378534864756903
Adjusted_CTR,0.0002544094150971833
CR_Discrepancy_original,0.00019229179489316136
CR_Discrepancy_transformed,0.00015637593613983416
CR_Discrepancy,0.00012117874788756055
Original_Conversion_Rate,7.089036582162283e-05
campaign_duration_days,3.6405715127036725e-05
Click_Quality_Suspicious (Round Number),3.88534680559645e-06
Click_Quality_Normal,3.5020266698841094e-06
Conversion_Rate_Source_Calculated_CTR,0.0
